character	episode	words	profanities
4	109	0.24	0
5	109	0.0	0
6	109	0.0	0
7	109	3.38	9.01
8	109	0.0	0
9	109	0.43	71.43
10	109	0.0	0
11	109	0.0	0
1	110	2.51	22.99
2	110	9.85	11.73
3	110	17.8	3.25
4	110	0.0	0
5	110	20.89	4.15
6	110	0.0	0
7	110	0.0	0
8	110	1.04	27.78
9	110	0.32	0
10	110	0.0	0
11	110	0.0	0
1	111	14.08	16.81
2	111	17.13	3.45
3	111	5.56	0
4	111	0.56	52.63
5	111	0.0	0
6	111	0.95	0
7	111	0.44	0
8	111	0.0	0
9	111	0.3	0
10	111	0.0	0
11	111	0.0	0
1	112	24.2	19.28
2	112	16.52	13.18
3	112	18.07	12.05
4	112	0.81	0
5	112	10.26	0
6	112	1.68	0
7	112	0.12	0
8	112	0.0	0
9	112	0.37	0
10	112	0.5	0
11	112	4.32	7.19
1	113	26.51	16.92
2	113	8.28	9.85
3	113	0.82	0
4	113	0.0	0
5	113	0.0	0
6	113	0.0	0
7	113	0.0	0
8	113	0.0	0
9	113	0.0	0
10	113	0.0	0
11	113	0.0	0
1	114	29.24	18.4
2	114	13.39	26.79
3	114	20.12	16.34
4	114	0.57	52.63
5	114	0.0	0
6	114	0.0	0
7	114	0.0	0
8	114	0.0	0
9	114	0.0	0
10	114	0.0	0
11	114	0.0	0
1	115	0.68	0
2	115	1.35	0
3	115	22.03	4.39
4	115	0.06	0
5	115	4.41	0
6	115	11.14	2.89
7	115	9.4	3.42
8	115	0.0	0
9	115	0.74	43.48
10	115	0.0	0
11	115	0.0	0
1	116	19.54	20.34
2	116	0.95	0
3	116	0.46	0
4	116	0.0	0
5	116	41.22	2.97
6	116	0.0	0
7	116	0.0	0
8	116	0.0	0
9	116	0.0	0
10	116	0.0	0
11	116	0.0	0
1	117	16.51	12.2
2	117	11.05	5.21
3	117	6.93	4.15
4	117	1.04	0
5	117	0.0	0
6	117	0.0	0
7	117	1.87	0
8	117	0.0	0
9	117	0.0	0
10	117	0.0	0
11	117	0.2	0
1	118	6.13	46.63
2	118	2.51	50.63
3	118	12.23	20.78
4	118	0.0	0
5	118	0.0	0
